p,cluster_size
0.01,4
0.02,4
0.03,5
0.04,5
0.05,6
0.06,6
0.07,8
0.08,11
0.09,9
0.1,11
0.11,11
0.12,10
0.13,12
0.14,12
0.15,14
0.16,14
0.17,15
0.18,23
0.19,22
0.2,23
0.21,20
0.22,24
0.23,26
0.24,30
0.25,25
0.26,29
0.27,35
0.28,34
0.29,39
0.3,58
0.31,48
0.32,53
0.33,69
0.34,63
0.35,62
0.36,70
0.37,80
0.38,89
0.39,85
0.4,125
0.41,169
0.42,142
0.43,187
0.44,203
0.45,233
0.46,259
0.47,308
0.48,404
0.49,414
0.5,661
0.51,1023
0.52,955
0.53,1919
0.54,1800
0.55,3187
0.56,2967
0.57,11281
0.58,52474
0.59,184310
0.6,423759
0.61,507278
0.62,549302
0.63,575713
0.64,596973
0.65,616135
0.66,631650
0.67,648931
0.68,661691
0.69,675818
0.7,687897
0.71,699621
0.72,712258
0.73,723357
0.74,733481
0.75,745617
0.76,756579
0.77,766368
0.78,777477
0.79,787776
0.8,798078
0.81,807920
0.82,818969
0.83,828870
0.84,839322
0.85,849558
0.86,859741
0.87,869584
0.88,879550
0.89,889906
0.9,899859
0.91,910362
0.92,919815
0.93,929748
0.94,939982
0.95,950168
0.96,960003
0.97,970262
0.98,980033
0.99,989976
